,accuracy,precision_score_micro,precision_score_macro,recall_score_micro,recall_score_macro,f1_score_micro,f1_score_macro,execution_time
0,0.9978477191413238,0.9978477191413238,0.8874048760317201,0.9978477191413238,0.940464967719255,0.9978477191413238,0.9122318018464947,1601.1808767318726
1,0.9975385034660107,0.9975385034660107,0.8609588282456567,0.9975385034660107,0.9434383547052282,0.9975385034660107,0.8990199704311266,1592.038177728653
2,0.9970650715563506,0.9970650715563506,0.835078149647201,0.9970650715563506,0.9654024616501075,0.9970650715563506,0.892418098170189,1595.153556585312
3,0.997009168157424,0.997009168157424,0.8348054705582949,0.997009168157424,0.9652186056874529,0.997009168157424,0.8921763955260694,1591.3630108833313
4,0.9975926598837209,0.9975926598837209,0.868987293035231,0.9975926598837209,0.9505770275407132,0.9975926598837209,0.9066799275656864,1592.828417301178
5,0.9975446179002684,0.9975446179002684,0.8612009281395,0.9975446179002684,0.9597598173840125,0.9975446179002684,0.9061342395919502,1594.0223293304443
6,0.997051095706619,0.997051095706619,0.8330294479446966,0.997051095706619,0.9400736336243233,0.997051095706619,0.8808967675395117,1593.928940296173
7,0.997360311381932,0.997360311381932,0.8579511212008977,0.997360311381932,0.9415685088610534,0.997360311381932,0.8966014543901246,1595.6006860733032
8,0.9973244982669947,0.9973244982669947,0.8421083862958804,0.9973244982669947,0.9503732878491843,0.9973244982669947,0.8901703491902606,1594.7919795513153
9,0.9973052814736136,0.9973052814736136,0.8627758900429311,0.9973052814736136,0.9326467034345692,0.9973052814736136,0.8955090008728034,1596.3410580158234
