,accuracy,precision_score_micro,precision_score_macro,recall_score_micro,recall_score_macro,f1_score_micro,f1_score_macro,execution_time
0,0.9945083645460644,0.9945083645460644,0.7786295495808332,0.9945083645460644,0.935706433778387,0.9945083645460644,0.8437752019833513,1087.193782567978
1,0.9950630310822898,0.9950630310822898,0.8056745352058515,0.9950630310822898,0.927109334302611,0.9950630310822898,0.8580301350777314,1084.6817977428436
2,0.9948263151274598,0.9948263151274598,0.7901570343715001,0.9948263151274598,0.9260117811487363,0.9948263151274598,0.8460857509182486,1085.8459107875824
3,0.9946219183251341,0.9946219183251341,0.7920905432365165,0.9946219183251341,0.9266869058395635,0.9946219183251341,0.8502260226204851,1083.3418309688568
4,0.9949896578711985,0.9949896578711985,0.8080670787780907,0.9949896578711985,0.9111009620905796,0.9949896578711985,0.8541177129790573,1084.321958065033
5,0.9948009838998211,0.9948009838998211,0.7999390849898118,0.9948009838998211,0.9278039841952991,0.9948009838998211,0.8556784315339935,1084.5074708461761
6,0.9951888137298748,0.9951888137298748,0.8178179292296117,0.9951888137298748,0.9103328488232338,0.9951888137298748,0.859966603195362,1098.3115091323853
7,0.9941956549083184,0.9941956549083184,0.760073186706419,0.9941956549083184,0.934407302265121,0.9941956549083184,0.8302391165584319,1093.496729850769
8,0.9946655928555456,0.9946655928555456,0.7930511757633063,0.9946655928555456,0.926547176304961,0.9946655928555456,0.8505766596135019,1097.651614665985
9,0.994857760789356,0.994857760789356,0.8024984513095935,0.994857760789356,0.9145128831277255,0.994857760789356,0.8522259936454027,1100.3333797454834
