,accuracy,precision_score_micro,precision_score_macro,recall_score_micro,recall_score_macro,f1_score_micro,f1_score_macro,execution_time
0,0.8685897435897436,0.8685897435897436,0.5701992753623188,0.8685897435897436,0.6115264797507788,0.8685897435897437,0.5885007774870102,201.24055933952332
1,0.8846153846153846,0.8846153846153846,0.5849358974358975,0.8846153846153846,0.6128961304840702,0.8846153846153846,0.598588736519771,185.90080308914185
2,0.8717948717948718,0.8717948717948718,0.5633963396339634,0.8717948717948718,0.6074074074074075,0.8717948717948718,0.5824919093851132,187.31587409973145
3,0.8846153846153846,0.8846153846153846,0.5792717086834734,0.8846153846153846,0.6008549157656525,0.8846153846153846,0.5898407701156384,195.283949136734
4,0.8814102564102564,0.8814102564102564,0.5789654794863373,0.8814102564102564,0.6084162520729685,0.8814102564102565,0.5933254480640021,208.65903615951538
5,0.9198717948717948,0.9198717948717948,0.6085374727140431,0.9198717948717948,0.6112847052696676,0.9198717948717948,0.6097286076852595,199.92106819152832
6,0.8942307692307693,0.8942307692307693,0.5877734937520324,0.8942307692307693,0.6023996488318782,0.8942307692307693,0.5949933371406815,203.05174732208252
7,0.8814102564102564,0.8814102564102564,0.5651709876817717,0.8814102564102564,0.6232363315696648,0.8814102564102565,0.587535930524127,204.66652727127075
8,0.9294871794871795,0.9294871794871795,0.6162264150943396,0.9294871794871795,0.623907268775658,0.9294871794871795,0.619969695885083,204.11270189285278
9,0.9102564102564102,0.9102564102564102,0.928055963491086,0.9102564102564102,0.680970687019074,0.9102564102564102,0.7096083640621206,205.93971014022827
