,accuracy,precision_score_micro,precision_score_macro,recall_score_micro,recall_score_macro,f1_score_micro,f1_score_macro,execution_time
0,0.99728125,0.99728125,0.8033393828889158,0.99728125,0.8890098198197132,0.99728125,0.8425123017717038,303.997460603714
1,0.998,0.998,0.8746696064719396,0.998,0.8826245646556533,0.998,0.877465400688624,239.22713828086853
2,0.997734375,0.997734375,0.8436535539033602,0.997734375,0.8888378278850008,0.997734375,0.8631202090209774,240.43401050567627
3,0.99753125,0.99753125,0.833595025891079,0.99753125,0.8907305399176314,0.99753125,0.8602038087936368,240.35826420783997
4,0.997828125,0.997828125,0.8640782695121256,0.997828125,0.8988385425877107,0.997828125,0.8783506242747491,239.1836814880371
5,0.9980625,0.9980625,0.8779298240040321,0.9980625,0.9074519537856988,0.9980625,0.8898313999992574,240.02987813949585
6,0.99746484375,0.99746484375,0.8200688519626125,0.99746484375,0.883611146419914,0.99746484375,0.8498599392358225,239.64309430122375
7,0.99787109375,0.99787109375,0.8481555577232566,0.99787109375,0.8873727862324313,0.99787109375,0.8670355579182454,239.79594588279724
8,0.997296875,0.997296875,0.8307726311427773,0.997296875,0.9038971385173858,0.997296875,0.8628096043476866,239.05050826072693
9,0.998015625,0.998015625,0.8678107214789037,0.998015625,0.9051734162431883,0.998015625,0.8842725349908749,238.93083953857422
