,accuracy,precision_score_micro,precision_score_macro,recall_score_micro,recall_score_macro,f1_score_micro,f1_score_macro,execution_time
0,0.995918178387746,0.995918178387746,0.8288888303088322,0.995918178387746,0.9222358929943117,0.995918178387746,0.8716002982300496,1092.8893489837646
1,0.9951582415585868,0.9951582415585868,0.7966768713715088,0.9951582415585868,0.9119996096786501,0.9951582415585868,0.8483699739860016,1085.0111982822418
2,0.9960736597160107,0.9960736597160107,0.8236103235971161,0.9960736597160107,0.9228035333667972,0.9960736597160107,0.8686177656372847,1092.934725522995
3,0.9961618822674418,0.9961618822674418,0.8289638799566605,0.9961618822674418,0.9253108502149605,0.9961618822674418,0.8729677112417579,1092.7567021846771
4,0.9956718540362254,0.9956718540362254,0.8056402095418108,0.9956718540362254,0.9236356660135414,0.9956718540362254,0.8588916931698818,1094.2447226047516
5,0.9956299264870304,0.9956299264870304,0.805147600466009,0.9956299264870304,0.9217491248722955,0.9956299264870304,0.8577595465143227,1093.8111853599548
6,0.9958797448009838,0.9958797448009838,0.8179647986638174,0.9958797448009838,0.913119166568538,0.9958797448009838,0.8610072019078028,1094.557548046112
7,0.9965837782312165,0.9965837782312165,0.8472984972091034,0.9965837782312165,0.9186235680983064,0.9965837782312165,0.8807159952954522,1097.355390071869
8,0.9948036043716458,0.9948036043716458,0.7711659271352991,0.9948036043716458,0.9283582415030078,0.9948036043716458,0.8383844860624046,1096.8129653930664
9,0.9964082066189625,0.9964082066189625,0.8399367708278509,0.9964082066189625,0.9278766204352034,0.9964082066189625,0.8807281577261946,1097.6417438983917
