,accuracy,precision_score_micro,precision_score_macro,recall_score_micro,recall_score_macro,f1_score_micro,f1_score_macro,execution_time
0,0.9894722592469177,0.9894722592469177,0.9412445868946329,0.9894722592469177,0.9757204312070685,0.9894722592469177,0.9580158486258699,477.1560297012329
1,0.9888384411653424,0.9888384411653424,0.9334119274228705,0.9888384411653424,0.9780024660937301,0.9888384411653424,0.9549133654518117,435.8819999694824
2,0.9915872883823468,0.9915872883823468,0.9569487380253687,0.9915872883823468,0.9746445211416136,0.9915872883823468,0.9656478072675486,435.15103220939636
3,0.9899046138330952,0.9899046138330952,0.944794355235883,0.9899046138330952,0.9700608538612993,0.9899046138330952,0.9571306454200181,435.0050013065338
4,0.9919635459817729,0.9919635459817729,0.954583671679915,0.9919635459817729,0.9778505658730634,0.9919635459817729,0.9659570371662474,435.41100239753723
5,0.9898441731594517,0.9898441731594517,0.9369026895238265,0.9898441731594517,0.9722172296182066,0.9898441731594517,0.953740082241188,435.57391262054443
6,0.9906004840594225,0.9906004840594225,0.9477441311811499,0.9906004840594225,0.9727019717557627,0.9906004840594225,0.9599789953278596,434.40505051612854
7,0.9889435405893976,0.9889435405893976,0.9378635397929542,0.9889435405893976,0.974273866478699,0.9889435405893976,0.9555493974110124,434.5909719467163
8,0.9903215636822195,0.9903215636822195,0.9408301376161923,0.9903215636822195,0.9788033890913646,0.9903215636822195,0.959191950633975,436.9779951572418
9,0.9883567662565905,0.9883567662565905,0.9291715457009236,0.9883567662565905,0.9767819807719423,0.9883567662565905,0.9519153084967702,437.47799849510193
