,accuracy,precision_score_micro,precision_score_macro,recall_score_micro,recall_score_macro,f1_score_micro,f1_score_macro,execution_time
0,0.9936875,0.9936875,0.24842381581106102,0.9936875,0.24999901723765158,0.9936875,0.24920892741333467,244.05511927604675
1,0.99359375,0.99359375,0.3838362922214582,0.99359375,0.25531017683509727,0.99359375,0.25945088289303747,242.25449538230896
2,0.99333984375,0.99333984375,0.2483349609375,0.99333984375,0.25,0.99333984375,0.2491646988506648,242.00845623016357
3,0.9929921875,0.9929921875,0.32722054959638336,0.9929921875,0.2522297739598102,0.9929921875,0.2534925972564369,242.68377351760864
4,0.9934609375,0.9934609375,0.24836620455548655,0.9934609375,0.25,0.9934609375,0.24918042423945527,243.128071308136
5,0.99327734375,0.99327734375,0.48165548753888604,0.99327734375,0.2526748577562985,0.99327734375,0.2544487694414495,241.91852951049805
6,0.99342578125,0.99342578125,0.2483564453125,0.99342578125,0.25,0.99342578125,0.2491755124755789,241.99061918258667
7,0.9937890625,0.9937890625,0.3234540411734833,0.9937890625,0.2506395429733213,0.9937890625,0.2505015569273879,242.11364006996155
8,0.99320703125,0.99320703125,0.2483017578125,0.99320703125,0.25,0.99320703125,0.24914798505078775,243.32148265838623
9,0.9933046875,0.9933046875,0.248326171875,0.9933046875,0.25,0.9933046875,0.2491602748262739,243.88498067855835
